# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul  2 22:04:50 2026
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00,13.04,5.100e-01,-5.100e-01,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00,16.10,8.100e-01,-9.100e-01,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,3.19843,0.00653,-0.00653,9.1457e+03,6.600e+00,-6.600e+00,14.59,1.110e+00,-1.110e+00,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,6.5360000e-06,-6.5360000e-06,133.9831800,1.430000e-03,-1.430000e-03,2.63020,0.04270,-0.04270,1.3110e+02,3.000e+00,-3.000e+00,1.16,1.700e-01,-1.200e-01,5833.00,105.00,-117.00,4.407,0.085,-0.114,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660
15,10419211,K00742.01,,FALSE POSITIVE,11.521446064,1.9800000e-06,-1.9800000e-06,170.8396880,1.310000e-04,-1.310000e-04,3.63990,0.01140,-0.01140,1.7984e+04,3.190e+01,-3.190e+01,150.51,3.976e+01,-1.331e+01,5795.00,155.00,-172.00,4.554,0.033,-0.176,0.8480,0.2240,-0.0750,0.9380,0.0980,-0.1090
16,10464078,K00743.01,,FALSE POSITIVE,19.403937760,2.0680000e-05,-2.0680000e-05,172.4842530,8.420000e-04,-8.420000e-04,12.21550,0.05980,-0.05980,8.9187e+03,5.330e+01,-5.330e+01,7.18,7.600e-01,-6.800e-01,5043.00,151.00,-151.00,4.591,0.072,-0.048,0.6800,0.0720,-0.0650,0.6570,0.0850,-0.0360
17,10480982,K00744.01,,FALSE POSITIVE,19.221388942,1.1230000e-06,-1.1230000e-06,184.5521637,4.500000e-05,-4.500000e-05,4.79843,0.00235,-0.00235,7.4284e+04,2.190e+01,-2.190e+01,49.29,1.603e+01,-5.000e+00,6117.00,182.00,-200.00,4.496,0.052,-0.208,0.9470,0.3080,-0.0960,1.0250,0.1390,-0.1390
18,10485250,K00745.01,,FALSE POSITIVE,16.469837740,1.3610000e-05,-1.3610000e-05,180.8817610,6.230000e-04,-6.230000e-04,9.43780,0.06000,-0.06000,1.0479e+04,3.990e+01,-3.990e+01,7.94,8.900e-01,-8.900e-01,5152.00,168.00,-153.00,4.517,0.088,-0.072,0.7860,0.0880,-0.0880,0.7410,0.1060,-0.0570
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,9.273581730,1.0370000e-05,-1.0370000e-05,173.2581550,8.770000e-04,-8.770000e-04,3.28750,0.03090,-0.03090,1.2883e+03,1.680e+01,-1.680e+01,2.47,2.000e-01,-2.400e-01,4856.00,131.00,-146.00,4.583,0.065,-0.035,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,6.029303290,5.5090000e-06,-5.5090000e-06,171.6029590,7.130000e-04,-7.130000e-04,1.58210,0.03110,-0.03110,1.9127e+03,3.440e+01,-3.440e+01,2.85,2.600e-01,-1.500e-01,4537.00,123.00,-123.00,4.648,0.020,-0.056,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670
21,10583180,K00748.01,,FALSE POSITIVE,2.696370652,7.5340000e-06,-7.5340000e-06,170.7376900,2.340000e-03,-2.340000e-03,3.61290,0.06860,-0.06860,3.9790e+02,9.500e+00,-9.500e+00,1.58,1.300e-01,-1.600e-01,4989.00,149.00,-149.00,4.504,0.090,-0.060,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,5.349553819,8.8340000e-06,-8.8340000e-06,171.8069400,1.270000e-03,-1.270000e-03,3.02780,0.04710,-0.04710,8.3100e+02,1.480e+01,-1.480e+01,2.55,1.600e-01,-2.400e-01,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,3.941052210,1.0940000e-05,-1.0940000e-05,136.0866200,2.330000e-03,-2.330000e-03,2.59840,0.07370,-0.07370,3.6330e+02,1.390e+01,-1.390e+01,1.70,1.100e-01,-1.600e-01,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,8.109048070,6.7870000e-05,-6.7870000e-05,132.8031000,7.160000e-03,-7.160000e-03,3.59600,0.19800,-0.19800,2.1740e+02,1.680e+01,-1.680e+01,1.30,9.000e-02,-1.200e-01,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
25,2306756,K00113.01,,FALSE POSITIVE,386.603052800,1.3690000e-04,-1.3690000e-04,166.3420790,2.990000e-04,-2.990000e-04,6.80570,0.01840,-0.01840,2.4927e+04,4.580e+01,-4.580e+01,41.50,1.680e+00,-1.680e+00,5543.00,79.00,-79.00,4.081,0.014,-0.014,1.5800,0.0640,-0.0640,1.1030,0.0970,-0.0970
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,21.676991930,7.0100000e-05,-7.0100000e-05,171.5359400,2.580000e-03,-2.580000e-03,3.45550,0.06560,-0.06560,8.5720e+02,2.710e+01,-2.710e+01,2.95,1.200e-01,-2.300e-01,4954.00,79.00,-79.00,4.500,0.075,-0.020,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,4.996779680,1.3890000e-05,-1.3890000e-05,171.7420800,2.190000e-03,-2.190000e-03,2.17170,0.07620,-0.07620,9.3470e+02,3.970e+01,-3.970e+01,2.78,5.200e-01,-2.300e-01,5339.00,175.00,-159.00,4.552,0.034,-0.136,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,4.280963604,6.1410000e-06,-6.1410000e-06,171.8965900,1.150000e-03,-1.150000e-03,2.87500,0.04200,-0.04200,7.5080e+02,1.410e+01,-1.410e+01,2.30,5.800e-01,-1.900e-01,5644.00,152.00,-169.00,4.564,0.032,-0.168,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150
29,11463211,K00770.01,,FALSE POSITIVE,1.506354090,4.7000000e-07,-4.7000000e-07,170.9980640,2.460000e-04,-2.460000e-04,1.51550,0.04830,-0.04830,2.2117e+03,1.830e+01,-1.830e+01,4.53,1.010e+00,-4.400e-01,5714.00,155.00,-172.00,4.563,0.040,-0.160,0.8310,0.1860,-0.0800,0.9260,0.0900,-0.1100
30,11465813,K00771.01,,FALSE POSITIVE,670.645531000,1.2370000e-03,-1.2370000e-03,209.0435500,1.570000e-03,-1.570000e-03,53.41200,0.13100,-0.13100,1.8091e+04,3.350e+01,-3.350e+01,14.14,2.130e+00,-7.100e-01,5520.00,100.00,-111.00,4.466,0.032,-0.120,0.9830,0.1480,-0.0490,1.0300,0.0420,-0.0580
31,11493732,K00772.01,,FALSE POSITIVE,61.256362800,1.5600000e-04,-1.5600000e-04,173.8382600,2.090000e-03,-2.090000e-03,7.63300,0.10500,-0.10500,5.1233e+03,7.060e+01,-7.060e+01,39.87,1.279e+01,-5.480e+00,6144.00,184.00,-220.00,4.402,0.072,-0.217,1.0910,0.3500,-0.1500,1.0930,0.1660,-0.1350
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,38.377548600,1.6020000e-04,-1.6020000e-04,172.8204800,3.380000e-03,-3.380000e-03,5.58800,0.11300,-0.11300,7.2420e+02,2.340e+01,-2.340e+01,2.82,3.700e-01,-3.400e-01,5481.00,82.00,-74.00,4.369,0.121,-0.099,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,41.197255020,9.3450000e-05,-9.3450000e-05,165.0040400,1.710000e-03,-1.710000e-03,4.62970,0.06330,-0.06330,2.2139e+03,4.550e+01,-4.550e+01,3.86,1.500e-01,-3.300e-01,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,6.252962249,9.5770000e-06,-9.5770000e-06,171.3012600,1.170000e-03,-1.170000e-03,2.58190,0.04260,-0.04260,1.0369e+03,2.450e+01,-2.450e+01,2.65,1.000e-01,-2.300e-01,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,16.013084190,4.8540000e-05,-4.8540000e-05,176.3608000,2.430000e-03,-2.430000e-03,3.25540,0.07910,-0.07910,1.1219e+03,3.940e+01,-3.940e+01,3.10,3.400e-01,-3.100e-01,5015.00,164.00,-149.00,4.499,0.092,-0.115,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,32.628766720,5.8010000e-05,-5.8010000e-05,194.1019000,1.380000e-03,-1.380000e-03,4.79710,0.05800,-0.05800,1.8048e+03,2.540e+01,-2.540e+01,3.36,7.600e-01,-3.300e-01,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,91.773286200,7.5180000e-04,-7.5180000e-04,193.8378000,6.430000e-03,-6.430000e-03,6.47300,0.20400,-0.20400,6.5200e+02,3.620e+01,-3.620e+01,2.12,4.800e-01,-2.100e-01,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
38,11138155,K00760.01,Kepler-1976 b,CONFIRMED,4.959319244,5.1500000e-07,-5.1500000e-07,172.2585292,8.270000e-05,-8.270000e-05,2.22739,0.00750,-0.00750,9.8020e+03,2.000e+01,-2.000e+01,12.21,1.960e+00,-1.460e+00,5712.00,77.00,-77.00,4.359,0.110,-0.110,1.0820,0.1730,-0.1300,0.9760,0.0730,-0.0550
39,11152159,K00761.01,,FALSE POSITIVE,2.701287801,5.6340000e-06,-5.6340000e-06,170.6957900,1.640000e-03,-1.640000e-03,3.38270,0.08920,-0.08920,8.6040e+02,2.090e+01,-2.090e+01,6.54,1.640e+00,-7.500e-01,5550.00,182.00,-182.00,4.468,0.091,-0.169,0.9100,0.2280,-0.1050,0.8890,0.1020,-0.0830
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,4.498765110,1.7770000e-05,-1.7770000e-05,171.3490500,3.000000e-03,-3.000000e-03,3.73620,0.09340,-0.09340,4.6000e+02,1.750e+01,-1.750e+01,2.10,6.500e-01,-2.200e-01,6075.00,189.00,-210.00,4.486,0.052,-0.208,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390
41,11242721,K00763.01,,FALSE POSITIVE,19.651209505,5.8620000e-06,-5.8620000e-06,179.4019810,2.490000e-04,-2.490000e-04,5.25140,0.01790,-0.01790,1.1766e+04,2.770e+01,-2.770e+01,12.42,3.920e+00,-1.690e+00,6074.00,168.00,-210.00,4.391,0.090,-0.210,1.0630,0.3360,-0.1440,1.0140,0.1530,-0.1260
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,3.0520000e-06,-3.0520000e-06,133.1430890,4.680000e-04,-4.680000e-04,2.94720,0.02400,-0.02400,6.0160e+02,4.000e+00,-4.000e+00,2.94,4.300e-01,-3.800e-01,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,41.439586620,7.5570000e-05,-7.5570000e-05,208.9320300,1.420000e-03,-1.420000e-03,10.59890,0.08800,-0.08800,2.7931e+03,2.260e+01,-2.260e+01,5.50,1.570e+00,-9.600e-01,5468.00,180.00,-164.00,4.367,0.153,-0.187,1.0460,0.2970,-0.1830,0.9300,0.0920,-0.0740
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,8.353895230,1.5240000e-05,-1.5240000e-05,171.6325700,1.330000e-03,-1.330000e-03,2.25140,0.05180,-0.05180,1.0416e+03,2.820e+01,-2.820e+01,2.52,5.400e-01,-2.400e-01,5592.00,152.00,-152.00,4.582,0.036,-0.144,0.7870,0.1690,-0.0730,0.8620,0.0890,-0.0970
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,4.125543472,3.1330000e-06,-3.1330000e-06,169.7525850,6.130000e-04,-6.130000e-04,3.17440,0.03620,-0.03620,1.4873e+03,1.330e+01,-1.330e+01,4.43,1.440e+00,-5.100e-01,6174.00,173.00,-239.00,4.417,0.056,-0.210,1.1030,0.3580,-0.1280,1.1620,0.1580,-0.1580
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,2.816504904,1.6500000e-07,-1.6500000e-07,170.9676846,4.660000e-05,-4.660000e-05,2.50587,0.00666,-0.00666,1.6814e+04,1.100e+01,-1.100e+01,12.21,1.620e+00,-8.700e-01,5532.00,74.00,-83.00,4.452,0.063,-0.108,0.9550,0.1270,-0.0680,0.9410,0.0530,-0.0470
47,11442465,K00768.01,,FALSE POSITIVE,33.933734470,6.1540000e-05,-6.1540000e-05,186.6760800,1.370000e-03,-1.370000e-03,14.56100,0.10400,-0.10400,8.5037e+03,4.430e+01,-4.430e+01,7.34,9.000e-01,-6.000e-01,5040.00,136.00,-151.00,4.628,0.030,-0.070,0.7050,0.0860,-0.0580,0.7820,0.0630,-0.0870
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,3.689920099,8.9820000e-06,-8.9820000e-06,170.3657100,1.910000e-03,-1.910000e-03,2.65570,0.06770,-0.06770,4.2670e+02,1.380e+01,-1.380e+01,1.89,5.400e-01,-2.000e-01,5880.00,157.00,-192.00,4.518,0.046,-0.196,0.9170,0.2620,-0.0980,1.0100,0.1160,-0.1390
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,4.431238488,6.1060000e-06,-6.1060000e-06,171.0150000,1.110000e-03,-1.110000e-03,3.15000,0.04230,-0.04230,1.0109e+03,1.520e+01,-1.520e+01,3.25,4.700e-01,-2.500e-01,5714.00,77.00,-77.00,4.428,0.063,-0.117,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,11.379369860,2.4150000e-05,-2.4150000e-05,133.8499200,1.830000e-03,-1.830000e-03,2.62550,0.07300,-0.07300,1.0235e+03,2.970e+01,-2.970e+01,3.95,5.700e-01,-3.100e-01,5714.00,77.00,-77.00,4.428,0.063,-0.117,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,26.394328970,5.7240000e-05,-5.7240000e-05,176.0545900,1.760000e-03,-1.760000e-03,3.57300,0.06430,-0.06430,1.5109e+03,3.630e+01,-3.630e+01,3.07,4.100e-01,-2.200e-01,5129.00,154.00,-154.00,4.595,0.030,-0.084,0.7630,0.1030,-0.0550,0.8460,0.0640,-0.0880
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,13.570782810,1.5850000e-05,-1.5850000e-05,136.2791940,9.570000e-04,-9.570000e-04,3.35390,0.04890,-0.04890,5.1170e+02,6.300e+00,-6.300e+00,2.64,4.000e-01,-2.700e-01,5854.00,105.00,-117.00,4.406,0.090,-0.110,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,7.125943870,1.4060000e-05,-1.4060000e-05,139.0049200,1.590000e-03,-1.590000e-03,3.00140,0.03840,-0.03840,1.9240e+02,4.400e+00,-4.400e+00,1.79,2.600e-01,-2.300e-01,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
54,11656840,K00774.01,,FALSE POSITIVE,7.442652004,7.0200000e-07,-7.0200000e-07,169.9717797,7.320000e-05,-7.320000e-05,2.30780,0.01290,-0.01290,2.4446e+04,3.780e+01,-3.780e+01,15.03,4.730e+00,-1.580e+00,6108.00,183.00,-201.00,4.469,0.070,-0.210,0.9560,0.3010,-0.1000,0.9810,0.1280,-0.1280
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,16.384899880,5.2190000e-05,-5.2190000e-05,172.7278200,2.480000e-03,-2.480000e-03,3.02490,0.07980,-0.07980,1.1271e+03,4.200e+01,-4.200e+01,2.00,9.000e-02,-1.000e-01,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,7.877416300,1.4930000e-05,-1.4930000e-05,176.3759000,1.470000e-03,-1.470000e-03,2.08050,0.05170,-0.05170,1.3061e+03,3.770e+01,-3.770e+01,2.16,9.000e-02,-1.100e-01,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,36.445400100,1.8090000e-04,-1.8090000e-04,151.6012500,3.920000e-03,-3.920000e-03,4.00700,0.12600,-0.12600,1.1223e+03,5.340e+01,-5.340e+01,1.99,9.000e-02,-9.000e-02,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,3.728732147,9.3600000e-07,-9.3600000e-07,171.7932550,1.950000e-04,-1.950000e-04,2.68300,0.03500,-0.03500,5.2265e+03,1.850e+01,-1.850e+01,6.02,1.220e+00,-5.200e-01,5497.00,166.00,-149.00,4.577,0.034,-0.136,0.8090,0.1640,-0.0700,0.9070,0.0740,-0.1020
